track,artist,album,popularity_score,track_id,track_uri,spotify_link,preview,album_image_large,album_image_small,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dragostea Din Tei,O-Zone,DiscO-Zone,58,4nnHlGaBwJHb1rBetqj0Yl,spotify:track:4nnHlGaBwJHb1rBetqj0Yl,https://open.spotify.com/track/4nnHlGaBwJHb1rBetqj0Yl,https://p.scdn.co/mp3-preview/c58f4af9a16ca2af76c95109ba04fa12df459b14?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e025dd0f5f6cb3baeab4c8f3882,https://i.scdn.co/image/ab67616d000048515dd0f5f6cb3baeab4c8f3882,0.812,0.968,0,-3.758,1,0.0421,0.161,0.0,0.0661,0.706,130.093,213920,4
Tequila Shots,Kid Cudi,Man On The Moon III: The Chosen,84,30KctD1WsHKTIYczXjip5a,spotify:track:30KctD1WsHKTIYczXjip5a,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a,https://p.scdn.co/mp3-preview/eea2485b714dffabc02be38b0d1301f1b65d75d3?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e026f43a625b608f7177caa18c9,https://i.scdn.co/image/ab67616d000048516f43a625b608f7177caa18c9,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293,4
Slidin,21 Savage,SAVAGE MODE II,74,7fxSLnklnayJNBIKntXedZ,spotify:track:7fxSLnklnayJNBIKntXedZ,https://open.spotify.com/track/7fxSLnklnayJNBIKntXedZ,https://p.scdn.co/mp3-preview/d2cefc8de00bec58584bb88d9e3a0c742da75f74?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.774,0.706,2,-6.494,1,0.355,0.00163,1.28e-06,0.104,0.382,152.891,185037,4
Navigator,AC Slater,Navigator,47,6JHXT2H7OgxCxBpcQyPzDb,spotify:track:6JHXT2H7OgxCxBpcQyPzDb,https://open.spotify.com/track/6JHXT2H7OgxCxBpcQyPzDb,https://p.scdn.co/mp3-preview/4dd079494fc6b7f51cd66f58777c621e29de5138?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0235dcd1e7c8ba7c8d3a711885,https://i.scdn.co/image/ab67616d0000485135dcd1e7c8ba7c8d3a711885,0.742,0.931,2,-5.684,1,0.062,0.00285,0.534,0.296,0.493,128.012,171562,4
Dreams,Fleetwood Mac,Greatest Hits,74,1lbXEepatjRVjoG8pZMtdp,spotify:track:1lbXEepatjRVjoG8pZMtdp,https://open.spotify.com/track/1lbXEepatjRVjoG8pZMtdp,https://p.scdn.co/mp3-preview/10b5068313e5ee282e3fd335e87349c2580a2011?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02813da91820fd194cbee5bdce,https://i.scdn.co/image/ab67616d00004851813da91820fd194cbee5bdce,0.823,0.338,0,-15.899,1,0.0413,0.139,0.00129,0.5,0.785,120.473,254453,4
WHATS POPPIN,Jack Harlow,Sweet Action,86,1jaTQ3nqY3oAAYyCTbIvnM,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,https://p.scdn.co/mp3-preview/3e2084d3a833ec4504c6c14f364d7a1ce37790c5?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0205a448540b069450ccfba889,https://i.scdn.co/image/ab67616d0000485105a448540b069450ccfba889,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
Catch The Spirit,Jack Beats,Catch The Spirit EP,33,3ODOQfdKXTdLrMWQv21vVA,spotify:track:3ODOQfdKXTdLrMWQv21vVA,https://open.spotify.com/track/3ODOQfdKXTdLrMWQv21vVA,https://p.scdn.co/mp3-preview/c0bd5d903cd9e45af3ef6e004d18910a49b77e9e?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e020a825aa0adc08f33cc963837,https://i.scdn.co/image/ab67616d000048510a825aa0adc08f33cc963837,0.724,0.879,7,-7.694,0,0.0399,0.00673,0.0295,0.0976,0.12,125.027,203620,4
ORANGE SODA,Baby Keem,DIE FOR MY BITCH,80,5FkoSXiJPKTNyYgALRJFhD,spotify:track:5FkoSXiJPKTNyYgALRJFhD,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,https://p.scdn.co/mp3-preview/e73b574011e43a3a5ae72e705f5ae83c45546446?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02683757f1fd40a7f7ef64bec1,https://i.scdn.co/image/ab67616d00004851683757f1fd40a7f7ef64bec1,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,129882,4
Move Your Body (Future House),Tchami,Move Your Body (Future House),44,2Rnkr8qIMsefE7ubIm4JAo,spotify:track:2Rnkr8qIMsefE7ubIm4JAo,https://open.spotify.com/track/2Rnkr8qIMsefE7ubIm4JAo,https://p.scdn.co/mp3-preview/5e6e285f58e2bc0a1cbc24542207af44b8ad180e?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02f1b756c205959a2eb78b13d5,https://i.scdn.co/image/ab67616d00004851f1b756c205959a2eb78b13d5,0.818,0.87,9,-5.162,1,0.0493,0.00424,0.196,0.0429,0.741,123.999,219429,4
What Can I Do,A-Trak,Blaze / What Can I Do,53,2CGaIWj2aaWdyCEVL7hVoa,spotify:track:2CGaIWj2aaWdyCEVL7hVoa,https://open.spotify.com/track/2CGaIWj2aaWdyCEVL7hVoa,https://p.scdn.co/mp3-preview/8f6ecaae2cff22c61fe6e87b1a58d484c6ef1e98?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e024bf92383a8f4692af1c6f03a,https://i.scdn.co/image/ab67616d000048514bf92383a8f4692af1c6f03a,0.813,0.719,10,-7.992,0,0.0405,0.051,0.873,0.048,0.619,123.994,375702,4
