track,artist,track_id,data_type,0,1,2,3,4,5,6,7
JustYourSoul - Tchami Remix,Valentino Khan,5NJi42d7VDo8KPVksb7dS8,user_library,0.6526416977206247,-0.27664789787487637,-0.15199368930220172,-1.169888307749472,-0.32609381513041197,-0.28736961346586215,0.5126675914438548,0.005564797526977362
Moving Men,Myd,3y4I9VECfNbDXYN2bXh9hV,user_library,0.3424268707294208,0.3018632052088678,0.4210052456109292,-0.06967955908147197,0.030845659727321024,-0.026947980666304477,-0.9594290553098684,-0.12069269732543504
Sonate Pacifique,L'Impératrice,49PyCCLOdJi0jHkGyyY2vv,user_library,-0.002134617244545909,0.488963050231412,0.5325490342423123,0.3481371719169765,0.29926941317953476,-0.18782940077000257,-0.6834670746811747,-0.3185211540155635
Casio,Jungle,44ZKnfWEkp7wPs035j4Tua,user_library,-0.192305951259753,0.5542244756752525,-0.584259559272024,0.6737382700416644,0.7945992011141738,0.07514120936328664,-0.0776080619160981,0.18157819980536447
"Music Is My Hot, Hot Sex",CSS,5hzBRLhHC29XTml7gEEK6o,user_library,0.5232926174613036,0.45484303167835355,-0.24556311449475976,0.5110413646722343,-1.0610592857918248,0.1870175794171408,0.48803742438816533,0.6435097197222439
Nanã,Polo & Pan,0Psz3az3RIYfJpnsajBT8N,user_library,0.4595196095933458,0.007659567143886142,-0.22569248333462336,0.6442576132245984,0.11569052639767405,-0.016426515881332614,-0.3323944681050251,-0.4923709517011681
Ona Ona,Ehrling,4ZvjeNb7sBKuyC1fXniwjJ,user_library,0.11191249054238749,0.618176127809688,0.016239482716894883,-0.697520202955529,0.008491380785560512,0.8937482089248614,-0.37876866522378455,-0.08813649804239393
Talk to Me,Myd,0gtPUuFuOpSFLHtuX9SIvC,user_library,0.5075883430988012,0.11270513033483091,-0.38762989633038303,0.47447375700295585,0.041361521642335024,0.0004895792071819485,-0.9316142904624163,-0.03969046563797575
The Bouncer,Myd,0KnZMQeX2vktGj1BC38UAo,user_library,0.5239630813303774,0.12895787121303198,-0.3785505201706315,0.4558509256321875,0.03297625897295796,0.016086408599864516,-0.9855982288463769,0.16244434200674734
All Inclusive,Myd,46ZkuaGQAcvh4YhsoQUHgK,user_library,0.5122850964453756,0.08699867568233581,-0.3984467559238691,0.5150361290565433,-0.04980059464692325,-0.06752341452977506,-0.8656999684749999,-0.34374537572707636
Bingo,Myd,0ta3MZ6B06tEM2pjH9n87C,user_library,0.4857681233261541,0.12004826576936471,-0.400170697035636,0.5294430756725396,-0.03882899772460225,-0.08243775053878688,-0.9030574032926737,-0.3529071289590231
Superdiscoteca,Myd,1LaFSdiOu1rK0tHXBMRGdY,user_library,0.47339124055064974,0.35486281082488896,0.33471027518101726,-0.06318069135996192,0.07254829303981411,-0.0443358526331225,-0.8036717509597155,0.020584236995234765
Moving Men - Bob Sinclar Remix,Myd,7kxnqBmbFilmSlYdDB6aBz,user_library,0.4368377316138469,0.33505002713762144,0.5540960803555381,-0.17676397477387334,0.13535026192755098,-0.27208659459028084,-0.8647557556889848,-0.29428030706719144
Dopamine,Franc Moody,4sFyLyuJOUVMDcaSg1oHEa,user_library,-0.08174560775242415,0.7206117965318419,-0.8109680414047892,0.35023005905148685,0.10139102322151852,-0.019948409655127067,-0.6711725590219471,-0.16172570372144582
The Sun,Myd,2hhVlIZmGEGfNeVIYnMUAG,user_library,0.45553392742596815,0.19308685227165578,-0.3354718484238478,0.5788082040119042,-0.025215436223385505,0.04516199887979456,-0.9202524860921939,0.01765108465016512
Little Dark Age,MGMT,2Y0iGXY6m6immVb2ktbseM,user_library,0.04770052633153516,0.8434008206032172,0.360592594232143,0.10364447153106124,-0.4356796765171726,0.165412496633268,-0.3823559897831129,0.6822235973904378
Music Sounds Better with You,NEIL FRANCES,24nL5EXPrdodyCdxXoRRBZ,user_library,-0.17473869318079663,0.6256563698366049,-0.6246038766641279,0.3208759250414398,0.06386387279310902,-0.1320879876700125,-0.4369814873250825,-0.022994502053264847
Guillotine (From “True to the Game 2” Original Motion Picture Soundtrack),Wheezy,3kfKrrqwD3j4Mx7mZ2hje0,user_library,-0.18315060303661132,0.7509193103153504,-0.8606299290122165,0.276909303858224,0.14945450731212145,-0.04076620089095509,-0.29908851016177956,0.13847519456558174
Four Twenty,Malaa,6br178iaXMQcXiNqB1OzBx,user_library,0.7068635598638021,-0.22639757981917938,-0.1616462117392625,-1.157679841039428,-0.25829109979089193,-0.3337148604633518,0.35110474067332986,-0.40414317351776236
Come Thru,AC Slater,29ZgpeiwxcaMB6SFj4k07t,user_library,1.1176276865810273,-0.006462801296062322,-0.9971264101129322,-0.22562400882190106,-0.3607861985582735,-0.09516089412106514,0.3120078648531403,-0.40512368382100594
waves - Tame Impala Remix,Miguel,3lB0GMiI5KxDbTOG8V3bOx,user_library,-0.16466168379743537,-0.21793797136020862,0.8589500457289283,0.12677120480774506,0.05695339213875918,-0.1295953493156387,-0.5956193242447841,0.5989524310560211
Parachute,Petit Biscuit,2XZn85D188f2bGdV3zmmrF,user_library,0.16081769716464986,0.7419749093462168,-0.12821287615800228,-0.5558448220672618,0.01802107493404582,-0.009602752806000394,-0.7891566346394269,0.3665076444848416
Burnin,Petit Biscuit,5D246C2tLKCTeZgcsRfvcA,user_library,0.2006263970441711,0.4687384364506868,-0.7328722035466884,-0.04758860024833827,-0.1087417267712963,0.00882696105378519,-0.7765925311522611,0.3470457434311017
