track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,release_date_2000s,release_date_60s,release_date_70s,release_date_80s,release_date_90s,release_date_Post_2010s,time_signature_1,time_signature_3,time_signature_4,time_signature_5
Little Dark Age,MGMT,user_library,0.79,0.81,0.705,0.7120000000000001,0.10260000000000001,0.0385,0.0102,0.0008550000000000001,0.1,0.62,0.27570526086482955,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Music Sounds Better with You,NEIL FRANCES,user_library,0.62,0.7,0.935,0.526,0.1376,0.0645,0.275,0.23800000000000002,0.0673,0.778,0.41523935301165454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Guillotine (From “True to the Game 2” Original Motion Picture Soundtrack),Wheezy,user_library,0.32,0.45,0.841,0.614,0.09488333333333333,0.12,0.0442,0.0,0.11199999999999999,0.755,0.4286842391896308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Four Twenty,Malaa,user_library,0.59,0.52,0.89,0.6809999999999999,0.08588333333333333,0.0793,0.0052899999999999996,0.128,0.067,0.478,0.44249673238209336,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Come Thru,AC Slater,user_library,0.55,0.38,0.802,0.9790000000000001,0.07928333333333333,0.0514,0.0051600000000000005,0.0883,0.222,0.9520000000000001,0.4831717677812874,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
waves - Tame Impala Remix,Miguel,user_library,0.81,0.68,0.529,0.894,0.059983333333333326,0.0412,0.308,5.38e-06,0.254,0.5429999999999999,0.3472660930181897,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Parachute,Petit Biscuit,user_library,0.73,0.51,0.532,0.47700000000000004,0.18018333333333333,0.0812,0.303,0.0,0.13,0.515,0.16338089532730643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Burnin,Petit Biscuit,user_library,0.73,0.65,0.846,0.5539999999999999,0.14588333333333334,0.0559,0.044000000000000004,0.000367,0.0797,0.784,0.3877300947609192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Take Cover,Petit Biscuit,user_library,0.73,0.46,0.637,0.413,0.22643333333333332,0.136,0.276,0.00403,0.0969,0.11900000000000001,0.24462885306611487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Pick Your Battles,Petit Biscuit,user_library,0.73,0.55,0.693,0.6829999999999999,0.16233333333333333,0.0454,0.0335,0.12,0.16899999999999998,0.193,0.4556897396797735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Constellation,Petit Biscuit,user_library,0.73,0.45,0.466,0.40299999999999997,0.15716666666666665,0.0371,0.14300000000000002,0.00405,0.12300000000000001,0.11699999999999999,0.0648281777584141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Drivin Thru the Night,Petit Biscuit,user_library,0.73,0.48,0.546,0.586,0.15531666666666666,0.358,0.655,0.0222,0.0931,0.384,0.4557714301274371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Gwana,Petit Biscuit,user_library,0.73,0.46,0.624,0.414,0.21341666666666667,0.0735,0.39799999999999996,0.245,0.16399999999999998,0.185,0.46338225683476747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
I Leave Again,Petit Biscuit,user_library,0.73,0.65,0.7240000000000001,0.47600000000000003,0.23053333333333334,0.0555,0.465,0.0451,0.0964,0.11,0.45606415423156516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Hang On,Petit Biscuit,user_library,0.73,0.45,0.54,0.42100000000000004,0.19816666666666669,0.132,0.289,6.08e-05,0.0941,0.0386,0.41598818211523797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
BLIND (feat. Young Thug),DaBaby,user_library,0.94,0.76,0.7090000000000001,0.679,0.10838333333333332,0.34600000000000003,0.0115,0.0,0.0971,0.754,0.7213334604073629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ROXANNE,Arizona Zervas,user_library,0.77,0.87,0.621,0.601,0.0936,0.14800000000000002,0.0522,0.0,0.46,0.457,0.40656655048469664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Navigator,AC Slater,user_library,0.55,0.44,0.742,0.9309999999999999,0.09473333333333334,0.062,0.00285,0.534,0.29600000000000004,0.493,0.4833351486766148,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Intro,21 Savage,user_library,0.88,0.59,0.42700000000000005,0.473,0.18506666666666668,0.15,0.312,0.369,0.527,0.654,0.16310859383509418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Runnin,21 Savage,user_library,0.88,0.85,0.8190000000000001,0.626,0.07623333333333333,0.20199999999999999,0.00748,0.10099999999999999,0.16699999999999998,0.415,0.5854345931815705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Glock In My Lap,21 Savage,user_library,0.88,0.76,0.847,0.733,0.10731666666666667,0.16,0.0057399999999999994,1.04e-05,0.151,0.20199999999999999,0.4970659514214138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Mr. Right Now (feat. Drake),21 Savage,user_library,0.88,0.83,0.647,0.667,0.09271666666666666,0.304,0.231,0.0,0.133,0.7040000000000001,0.7833297026467707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Rich Nigga Shit (feat. Young Thug),21 Savage,user_library,0.88,0.77,0.825,0.733,0.09375,0.0969,0.349,0.0,0.11199999999999999,0.62,0.27885034309988016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Slidin,21 Savage,user_library,0.88,0.71,0.774,0.706,0.10823333333333333,0.355,0.0016300000000000002,1.28e-06,0.10400000000000001,0.382,0.6526998692952837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Snitches & Rats (Interlude),21 Savage,user_library,0.88,0.61,0.607,0.371,0.23758333333333334,0.894,0.742,0.000164,0.40299999999999997,0.945,0.30953191373488737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Many Men,21 Savage,user_library,0.88,0.73,0.635,0.7929999999999999,0.07221666666666667,0.0322,0.000647,0.747,0.113,0.281,0.14011273281777575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Snitches & Rats (feat. Young Nudy),21 Savage,user_library,0.88,0.65,0.821,0.6709999999999999,0.09821666666666666,0.18,0.00843,8.499999999999999e-05,0.0972,0.494,0.6054691754710817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
My Dawg,21 Savage,user_library,0.88,0.68,0.831,0.532,0.08864999999999999,0.301,0.0652,0.0,0.46399999999999997,0.364,0.5656586973096611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Steppin On Niggas,21 Savage,user_library,0.88,0.64,0.8490000000000001,0.635,0.06780000000000001,0.254,0.000608,8.44e-06,0.062,0.7979999999999999,0.22105435137784551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Brand New Draco,21 Savage,user_library,0.88,0.68,0.6970000000000001,0.7090000000000001,0.1107,0.298,0.040999999999999995,0.000296,0.0886,0.439,0.6672135388301927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
No Opp Left Behind,21 Savage,user_library,0.88,0.67,0.823,0.703,0.04485000000000001,0.298,0.0161,1.35e-06,0.294,0.26,0.823923047598301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
RIP Luv,21 Savage,user_library,0.88,0.67,0.63,0.39899999999999997,0.16448333333333334,0.17800000000000002,0.105,0.174,0.23399999999999999,0.0657,0.8577769306175798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Said N Done,21 Savage,user_library,0.88,0.66,0.775,0.5660000000000001,0.11101666666666668,0.28300000000000003,0.0381,0.000341,0.127,0.479,0.7034840975928549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
SKYBOX,Gunna,user_library,0.9,0.64,0.779,0.7070000000000001,0.10878333333333333,0.16,0.0991,0.0,0.0934,0.34299999999999997,0.5710298442435464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Roses Remix (feat. Future),SAINt JHN,user_library,0.82,0.69,0.941,0.46299999999999997,0.09988333333333332,0.113,0.0247,5.5299999999999996e-05,0.192,0.312,0.47646634353556244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Trap - Rompasso Remix,SAINt JHN,user_library,0.82,0.61,0.6940000000000001,0.7390000000000001,0.09095000000000002,0.185,0.0225,9.11e-06,0.507,0.222,0.483587027556911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Dreams,Fleetwood Mac,user_library,0.85,0.72,0.823,0.33799999999999997,0.26498333333333335,0.0413,0.139,0.0012900000000000001,0.5,0.785,0.4320131249319246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Drivin Thru the Night,Petit Biscuit,user_library,0.73,0.57,0.546,0.5870000000000001,0.15525,0.33399999999999996,0.522,0.0467,0.0955,0.33399999999999996,0.45564208691863634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Thank You,Dido,user_library,0.72,0.7,0.725,0.583,0.16570000000000001,0.0424,0.3,0.000215,0.0665,0.765,0.1563827469774534,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Opaul,Freddie Dredd,user_library,0.73,0.65,0.815,0.884,0.0691,0.213,0.00555,0.498,0.0983,0.638,0.5991926260755909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Dragostea Din Tei,O-Zone,user_library,0.59,0.57,0.812,0.968,0.06263333333333333,0.0421,0.161,0.0,0.0661,0.706,0.49750163380895324,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ORANGE SODA,Baby Keem,user_library,0.7,0.78,0.83,0.564,0.13036666666666666,0.235,0.177,0.0,0.128,0.107,0.19081527066768328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Do My Dance,Tyga,user_library,0.86,0.55,0.838,0.618,0.08645,0.0805,0.0035700000000000003,0.0016600000000000002,0.132,0.746,0.659909051301601,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
September,"Earth, Wind & Fire",user_library,0.76,0.8,0.6970000000000001,0.8320000000000001,0.12106666666666666,0.0298,0.168,0.00131,0.26899999999999996,0.9790000000000001,0.46913462585774973,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Climbing a Wall,Floral,user_library,0.35,0.38,0.29,0.7509999999999999,0.09755,0.0436,0.0177,0.28600000000000003,0.08900000000000001,0.6779999999999999,0.6404871473695677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
I'm God,Clams Casino,user_library,0.64,0.62,0.529,0.6409999999999999,0.113,0.0336,0.0711,0.76,0.102,0.08900000000000001,0.5780620302799262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
