track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,release_date_2000s,release_date_60s,release_date_70s,release_date_80s,release_date_90s,release_date_Post_2010s,time_signature_1,time_signature_3,time_signature_4,time_signature_5
Agitations tropicales,L'Impératrice,user_library,0.63,0.61,0.76,0.401,0.15895,0.0674,0.564,0.259,0.0977,0.619,0.4014881276549395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
One Thing (feat. Cristina Soto) - Amp Live Remix,Psymbionic,user_library,0.38,0.47,0.5479999999999999,0.731,0.10478333333333335,0.0334,9.470000000000001e-05,0.0118,0.361,0.484,0.6804541988890098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
PSYCHEDELIC feat. Taylr Renee,LSDREAM,user_library,0.51,0.44,0.6659999999999999,0.653,0.12178333333333334,0.0297,0.00428,0.48700000000000004,0.513,0.0539,0.31247957738808413,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Here Comes The Cowboy,Mac DeMarco,user_library,0.75,0.41,0.706,0.111,0.34135,0.16399999999999998,0.237,0.8490000000000001,0.0912,0.524,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nobody,Mac DeMarco,user_library,0.75,0.53,0.877,0.17800000000000002,0.23311666666666667,0.102,0.7759999999999999,0.0193,0.107,0.442,0.12243355843590026,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
K,Mac DeMarco,user_library,0.75,0.44,0.569,0.11,0.2983166666666667,0.0436,0.862,0.0554,0.121,0.183,0.64523880840867,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Hey Cowgirl,Mac DeMarco,user_library,0.75,0.41,0.8170000000000001,0.441,0.1869,0.0417,0.43,0.0269,0.12300000000000001,0.6829999999999999,0.5855026685546239,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
On The Square,Mac DeMarco,user_library,0.75,0.45,0.679,0.326,0.24013333333333334,0.0283,0.6940000000000001,0.18100000000000002,0.147,0.386,0.1341289075264132,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
All Of Our Yesterdays,Mac DeMarco,user_library,0.75,0.48,0.7809999999999999,0.431,0.17291666666666666,0.128,0.172,0.14,0.0823,0.57,0.5848423374360092,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Skyless Moon,Mac DeMarco,user_library,0.75,0.4,0.775,0.0466,0.2733666666666667,0.0349,0.889,6.29e-05,0.111,0.392,0.48255908942381004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Baby Bye Bye,Mac DeMarco,user_library,0.75,0.39,0.555,0.49200000000000005,0.2056333333333333,0.20600000000000002,0.526,0.0354,0.14300000000000002,0.672,0.595618668990306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Finally Alone,Mac DeMarco,user_library,0.75,0.46,0.826,0.485,0.182,0.0345,0.513,0.00224,0.109,0.852,0.26879561049994566,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Little Dogs March,Mac DeMarco,user_library,0.75,0.42,0.8959999999999999,0.18,0.22761666666666666,0.0887,0.7240000000000001,0.0226,0.109,0.254,0.47074801219910684,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Preoccupied,Mac DeMarco,user_library,0.75,0.54,0.813,0.212,0.25701666666666667,0.163,0.32899999999999996,0.0725,0.12300000000000001,0.48200000000000004,0.6947091820063176,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Choo Choo,Mac DeMarco,user_library,0.75,0.41,0.838,0.735,0.19519999999999998,0.138,0.0669,0.33399999999999996,0.165,0.945,0.7552554187996949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Heart To Heart,Mac DeMarco,user_library,0.75,0.46,0.9009999999999999,0.136,0.2687833333333333,0.102,0.667,0.354,0.109,0.643,0.6335366517808518,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
All Night Long (All Night) - Single Version,Lionel Richie,user_library,0.74,0.64,0.7390000000000001,0.5760000000000001,0.20040000000000002,0.0472,0.122,0.00206,0.0482,0.78,0.3526168173401591,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Vogue,Local Natives,user_library,0.66,0.38,0.14400000000000002,0.35700000000000004,0.19238333333333332,0.0356,0.758,0.0707,0.109,0.21100000000000002,0.13174626946955664,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
When Am I Gonna Lose You,Local Natives,user_library,0.66,0.67,0.452,0.8340000000000001,0.07761666666666667,0.0967,0.0417,0.00036,0.11900000000000001,0.514,0.5791580437860799,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Café Amarillo,Local Natives,user_library,0.66,0.49,0.586,0.9179999999999999,0.09741666666666667,0.0708,0.35600000000000004,0.0015300000000000001,0.128,0.31,0.37429201612024837,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Munich II,Local Natives,user_library,0.66,0.34,0.24600000000000002,0.28800000000000003,0.25823333333333337,0.0376,0.865,0.818,0.139,0.395,0.7762975166103911,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Megaton Mile,Local Natives,user_library,0.66,0.53,0.542,0.8109999999999999,0.0845,0.0759,0.0476,0.000168,0.813,0.58,0.43204035508114585,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Someday Now,Local Natives,user_library,0.66,0.4,0.266,0.89,0.09833333333333334,0.125,0.426,0.000277,0.298,0.622,0.21609165668227853,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Shy,Local Natives,user_library,0.66,0.37,0.405,0.951,0.059983333333333326,0.2,0.0534,0.000126,0.716,0.221,0.7397750789674329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Garden Of Elysian,Local Natives,user_library,0.66,0.37,0.257,0.614,0.0934,0.0388,0.0638,0.00035299999999999996,0.105,0.24100000000000002,0.4552949025160657,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Gulf Shores,Local Natives,user_library,0.66,0.35,0.41,0.8190000000000001,0.10121666666666666,0.0432,0.024,1.64e-05,0.11,0.149,0.23503022546563562,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Tap Dancer,Local Natives,user_library,0.66,0.38,0.272,0.413,0.15788333333333332,0.0307,0.27399999999999997,0.0146,0.102,0.336,0.28639309443415756,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Turn off the Lights (feat. Alexis Roberts),Chris Lake,user_library,0.67,0.0,0.8240000000000001,0.745,0.0915,0.0755,0.0467,3.289999999999999e-05,0.198,0.888,0.4629193442980067,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",user_library,0.73,0.83,0.8029999999999999,0.488,0.15505,0.0803,0.5760000000000001,0.0609,0.0763,0.624,0.2638533384162945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Patience,"Nas & Damian ""Jr. Gong"" Marley",user_library,0.52,0.48,0.794,0.636,0.13488333333333333,0.0416,0.20600000000000002,0.0179,0.0805,0.304,0.4574801219910685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Sabali,Amadou & Mariam,user_library,0.55,0.56,0.596,0.639,0.1091,0.03,0.7829999999999999,0.569,0.331,0.233,0.456104999455397,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Girls Just Want to Have Fun,Cyndi Lauper,user_library,0.73,0.78,0.71,0.799,0.08161666666666667,0.0328,0.22,0.000602,0.349,0.725,0.431325563664089,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Ya Kidding,FISHER,user_library,0.7,0.64,0.813,0.983,0.09191666666666666,0.153,0.0017699999999999999,0.546,0.502,0.77,0.46287849907417494,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Losing It,FISHER,user_library,0.7,0.76,0.76,0.9640000000000001,0.09739999999999999,0.0577,0.0018100000000000002,0.703,0.0975,0.643,0.4628512689249536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Running,Nyxen,user_library,0.45,0.52,0.662,0.848,0.10556666666666666,0.0618,0.0257,0.0583,0.121,0.259,0.3881317394619323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Vanille fraise,L'Impératrice,user_library,0.63,0.63,0.767,0.547,0.19096666666666667,0.0474,0.0399,0.485,0.0949,0.66,0.3132692517154994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Blame,Ekali,user_library,0.58,0.51,0.624,0.68,0.12141666666666667,0.0421,0.114,6.78e-05,0.0614,0.11699999999999999,0.23816850016338081,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
California - Tchad Blake Mix,Phantom Planet,user_library,0.53,0.64,0.4,0.805,0.12175,0.0407,0.0387,5.4000000000000005e-05,0.109,0.324,0.6906042370112189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Can’t Get Enough,GRiZ,user_library,0.64,0.45,0.584,0.909,0.09778333333333335,0.184,0.0007469999999999999,0.0427,0.179,0.556,0.7560723232763316,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
I’m Good,GRiZ,user_library,0.64,0.49,0.605,0.725,0.12228333333333334,0.0824,0.00145,0.00528,0.324,0.763,0.7011491122971354,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
My Friends and I Pt. 2,GRiZ,user_library,0.64,0.36,0.757,0.835,0.10593333333333334,0.0467,0.000551,0.000168,0.139,0.7559999999999999,0.5648622154449408,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cruise Control,GRiZ,user_library,0.64,0.35,0.324,0.654,0.1035,0.28300000000000003,0.00395,0.000192,0.408,0.632,0.8141406164905785,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
A New Day,GRiZ,user_library,0.64,0.5,0.64,0.743,0.10426666666666667,0.136,0.0152,0.0,0.245,0.618,0.6333868859601353,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
The Prayer,GRiZ,user_library,0.64,0.34,0.55,0.7509999999999999,0.10585,0.0563,0.00479,0.0161,0.0935,0.33,0.22456704062738259,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Bustin’ Out,GRiZ,user_library,0.64,0.36,0.733,0.888,0.1056,0.233,0.00474,1.34e-05,0.102,0.6809999999999999,0.36023445158479467,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Caught Up,GRiZ,user_library,0.64,0.34,0.6,0.715,0.11818333333333333,0.044000000000000004,0.00021400000000000002,0.36700000000000005,0.149,0.5429999999999999,0.4975424790327851,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Maybe,GRiZ,user_library,0.64,0.43,0.61,0.6559999999999999,0.13521666666666665,0.0326,0.0032700000000000003,1.15e-05,0.11800000000000001,0.294,0.3605612133754493,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
The Escape,GRiZ,user_library,0.64,0.31,0.518,0.782,0.12286666666666668,0.0946,0.000356,0.7040000000000001,0.5579999999999999,0.42100000000000004,0.25858430454198894,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Mercy,GRiZ,user_library,0.64,0.35,0.6609999999999999,0.76,0.1245,0.17800000000000002,0.0011099999999999999,0.00041600000000000003,0.19399999999999998,0.47700000000000004,0.633182659840976,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Barrel Of A Gun,GRiZ,user_library,0.64,0.31,0.619,0.868,0.10099999999999999,0.0777,0.0126,0.0009449999999999999,0.12300000000000001,0.354,0.496643884108485,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Find My Own Way,GRiZ,user_library,0.64,0.48,0.708,0.654,0.10763333333333332,0.0756,0.045,9.5e-06,0.16399999999999998,0.585,0.1977453436444832,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
It Gets Better,GRiZ,user_library,0.64,0.46,0.522,0.909,0.09936666666666667,0.0431,0.000766,0.00028,0.135,0.609,0.6670365428602552,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Radar (feat. HONNE),Whethan,user_library,0.69,0.54,0.7340000000000001,0.7240000000000001,0.11558333333333333,0.165,0.0387,0.000772,0.303,0.501,0.3060328395599609,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Friends,Flume,user_library,0.76,0.62,0.628,0.6679999999999999,0.09891666666666667,0.263,0.28800000000000003,0.0,0.622,0.34700000000000003,0.5572173510510838,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Bohemian Trapsody,Logic,user_library,0.83,0.53,0.725,0.838,0.12476666666666668,0.0312,0.0127,0.312,0.10099999999999999,0.414,0.5653047053697855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Can I Kick It,Logic,user_library,0.83,0.54,0.789,0.774,0.07358333333333333,0.0614,0.609,0.00122,0.298,0.488,0.2931665940529355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Time Machine,Logic,user_library,0.83,0.47,0.555,0.46399999999999997,0.10729999999999999,0.0348,0.595,0.011000000000000001,0.121,0.201,0.48963212068402145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Pretty Young Girl,Logic,user_library,0.83,0.48,0.6409999999999999,0.637,0.11611666666666667,0.0356,0.20600000000000002,0.00022799999999999999,0.342,0.39399999999999996,0.2589519115564753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Supermarket,Logic,user_library,0.83,0.46,0.682,0.574,0.09866666666666667,0.028999999999999998,0.0396,5.3e-05,0.16,0.366,0.22450577279163492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Baby,Logic,user_library,0.83,0.46,0.682,0.755,0.07393333333333334,0.0488,0.22899999999999998,0.0,0.0966,0.19699999999999998,0.2653986493845985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
By The Bridge,Logic,user_library,0.83,0.44,0.575,0.696,0.07811666666666667,0.028999999999999998,0.196,0.011000000000000001,0.0986,0.282,0.8099675961224269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Best Friend,Logic,user_library,0.83,0.43,0.425,0.46,0.12301666666666668,0.0428,0.0733,0.0126,0.10300000000000001,0.561,0.14654585557128857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Lemon Drop,Logic,user_library,0.83,0.44,0.888,0.7829999999999999,0.12228333333333334,0.0596,0.267,4.270000000000001e-05,0.0927,0.77,0.394544439603529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
I'm Probably Gonna Rock Your World,Logic,user_library,0.83,0.48,0.73,0.552,0.13941666666666666,0.155,0.745,0.0151,0.1,0.758,0.7962708310641542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Vacation From Myself,Logic,user_library,0.83,0.42,0.644,0.68,0.12623333333333334,0.0484,0.6829999999999999,0.0142,0.308,0.768,0.7346013506154014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
DeLorean,Logic,user_library,0.83,0.48,0.745,0.41600000000000004,0.09620000000000001,0.0258,0.0849,0.201,0.10300000000000001,0.18,0.2924722252477943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
I Love You Forever,Logic,user_library,0.83,0.45,0.467,0.6579999999999999,0.10241666666666666,0.0267,0.584,5.6899999999999994e-05,0.162,0.245,0.6187438732164252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Lady and Man,Khruangbin,user_library,0.73,0.5,0.728,0.691,0.13245,0.0578,0.000711,0.828,0.0912,0.9009999999999999,0.17151590240714526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cómo Te Quiero,Khruangbin,user_library,0.73,0.51,0.608,0.27899999999999997,0.19865000000000002,0.0282,0.62,0.9009999999999999,0.51,0.431,0.47325318592745896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Shades of Man,Khruangbin,user_library,0.73,0.46,0.659,0.498,0.13835,0.0597,0.0475,0.855,0.777,0.7959999999999999,0.17441591329920486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Evan Finds the Third Room,Khruangbin,user_library,0.73,0.55,0.7809999999999999,0.386,0.16623333333333334,0.0827,0.00998,0.5670000000000001,0.166,0.828,0.3322078204988564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
