track,artist,album,popularity_score,track_id,track_uri,spotify_link,preview,album_image_large,album_image_small,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics
Complete Control,AC Slater,Hi8,22,6SybrOitfPbVbpOFeIgydq,spotify:track:6SybrOitfPbVbpOFeIgydq,https://open.spotify.com/track/6SybrOitfPbVbpOFeIgydq,https://p.scdn.co/mp3-preview/d8e8d5b1c2631a2ee5cad0cdf522b0338c8e5d70?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e029c3b06fcfcbec07f70532486,https://i.scdn.co/image/ab67616d000048519c3b06fcfcbec07f70532486,0.84,0.943,9,-6.105,0,0.0807,0.00373,0.0411,0.193,0.909,127.985,279400,4,
Friday Morning,Khruangbin,Con Todo El Mundo,53,5gYGXwHud7JFReP9W61wGt,spotify:track:5gYGXwHud7JFReP9W61wGt,https://open.spotify.com/track/5gYGXwHud7JFReP9W61wGt,https://p.scdn.co/mp3-preview/129e3829acf011da90fc788b07ad7ca0ef5169ee?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0212db5c86831c0ee134ea3ba3,https://i.scdn.co/image/ab67616d0000485112db5c86831c0ee134ea3ba3,0.36,0.261,11,-13.639,0,0.0319,0.125,0.843,0.105,0.443,78.025,410900,4,"you are pretty colors find you in the morning  you get lonely when it's cold but you got fire, ooh find you, find me let's go and burn together, ooh  one dream to another i'll fall, you come with me  you get lonely when it's cold but you got fire, ooh find you, find me let's go and burn forever, ooh  na, na, na, na..."
Dreaming of You,L'Impératrice,Matahari (French Version),42,6fGmNs09PPcQ3NGIFLeXAB,spotify:track:6fGmNs09PPcQ3NGIFLeXAB,https://open.spotify.com/track/6fGmNs09PPcQ3NGIFLeXAB,https://p.scdn.co/mp3-preview/c11c9c38cd0f0e424feba558829a904cec62073f?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e025a27a28ae29e671a7a967657,https://i.scdn.co/image/ab67616d000048515a27a28ae29e671a7a967657,0.776,0.546,0,-11.036,1,0.066,0.0941,0.217,0.12,0.587,89.988,263507,4,"stone angel you’re a born hard breaker and i’m a soft hearted lover does it mean we’ll never get along? i could write it on a paper i could be your fire starter or just another number does it mean the game is already over? stone angel you’re a born hard breaker and i’m a soft hearted lover does it mean we’ll never get along? there’s no one who moves me like you do, baby you gotta know stone angel you’re a cold-hearted person and i’m a sweet sweet lover does it mean we’ll never get along? i could heat it with a touch now i could be your firestarter or just another number does it mean the game is already over? cold angel you were born with a heart of stone and i’m a soft hearted lover does it mean we’ll never get along? there’s no one who moves me like you do, baby you gotta know i’m still dreaming of you i’m still dreaming of you (dedicated to your love) i’m still dreaming of you (such a special kind of love) stone angel you’re a born heartbreaker and i’m a soft hearted lover does it mean we’ll never get along? i could write it down on paper i could be your firestarter or just another number does it mean the game is already over? stone angel you were born with a heart of stone and i’m a soft hearted lover does it mean we’ll never get along? there’s no one who moves me like you do, baby you gotta know there’s no one who moves me like you do, baby you gotta know there’s no one who moves me like you do, baby you gotta know you gotta know you gotta know you gotta know you gotta know you gotta know"
Snitches & Rats (feat. Young Nudy),21 Savage,SAVAGE MODE II,68,3WaDoMDQRqDdgtCDLxanpN,spotify:track:3WaDoMDQRqDdgtCDLxanpN,https://open.spotify.com/track/3WaDoMDQRqDdgtCDLxanpN,https://p.scdn.co/mp3-preview/1095f4203280748b976f9336ebe7dd9ef5b75bea?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.821,0.671,9,-5.893,1,0.18,0.00843,8.5e-05,0.0972,0.494,145.953,187773,4,
Another Day,Kid Cudi,Man On The Moon III: The Chosen,80,6myUpr3GDR80Dg3zqNTmmG,spotify:track:6myUpr3GDR80Dg3zqNTmmG,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG,https://p.scdn.co/mp3-preview/0270d8150fcbd742698b28fdfa769661cff59226?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e026f43a625b608f7177caa18c9,https://i.scdn.co/image/ab67616d000048516f43a625b608f7177caa18c9,0.646,0.758,4,-7.75,0,0.0708,0.556,0.00316,0.335,0.0642,172.995,199787,4,"iffy, can't decide which one i want all the girls at the party, come along, it's a party we started (yeah) mixin' drinks, how much? who knows i pour one out for dead homies (yeah, yeah), the dearly departed, baby (uh) ain't missin' the moment, ain't no spillin' (yeah) dude, i been livin', illin', tryna find it then i'm peelin' you feel it? (woah) all's good until i hit the ceilin' good riddance, i figured i'd be straight, just need a minute, just a second (yeah) how it's been on overload in my zone, gone nothing else can fix the problem but this herb grown, grown yes, that there, it got mе on one (oh) ain't no tweakin', i'm professional bеtter give a nigga room, i be back, round two it's the soldier in me (yeah), let them fuckers envy (do) goin' 7th heaven-bound, who goin' trippin with c? (yeah) the rager from the dark (yeah)  day fades and the sun goes away (uh) same old nigga and the same old pain (uh) ain't much change in me, y'all (yeah) seem like ain't nothin' change in me, y'all thank god i saw another day (uh-huh) but i can't go escape what i have made, nah ain't much change in me, y'all (yeah) seem like ain't nothin' change in me, y'all (yeah)  drop it (let's go), had me at ""hello"", we in the spot can not stop it (yeah), ragin' with familiar, lames think they got it, not (not) and you see me twistin' on the low, there he go yeah, baby, there he go, yeah, really, really (oh) won't be out there lookin' crazy, hazy, ho (hello) and it's like i surf the waves forming in my dome we keep floatin', hopin', coastin' ragin' through the day, sexy baby, turn me on-on (uh) hear me out, hear me, hear me come on, ready or not, nigga comin' with it come on with the team, hear me, hear me oh no, hit 'em up and i'm rippin', rippin', isn't he? (yeah) and i'm comin' full-blown to the tombstone (yeah) how i'm livin', gotta push it, gotta set the tone (yeah) it ain't nothin' to me, baby, say i'm livin' wrong (livin' wrong)  (go) day fades and the sun goes away (uh) same old nigga and the same old pain (uh) ain't much change in me, y'all (yeah) seem like ain't nothin' change in me, y'all thank god i saw another day (uh-huh) but i can't go escape what i have made, nah ain't much change in me, y'all (yeah) seem like ain't nothin' change in me, y'all (yeah)  hey, oh, hey, oh hmm, hmm hmm, hmm hmm, hmm hmm, hmm-mm tell me where you're going tell me where you're headed"
The Morning,The Weeknd,Trilogy,72,6u0dQik0aif7FQlrhycG1L,spotify:track:6u0dQik0aif7FQlrhycG1L,https://open.spotify.com/track/6u0dQik0aif7FQlrhycG1L,https://p.scdn.co/mp3-preview/b2375e919fb24827d712542c2b64ae19e192dba4?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02b298538481c52f7e217ed000,https://i.scdn.co/image/ab67616d00004851b298538481c52f7e217ed000,0.652,0.549,6,-7.555,0,0.039,0.317,0.0,0.104,0.186,120.073,312427,4,"i'm fucking gone right now i'm fucking gone right now ""listen, listen""  from the morning to the evening complaints from the tenants got the walls kicking like they six months pregnant drinking alizé with our cereal for breakfast girls calling cabs at dawn quarter to seven sky's getting cold, we're flying from the north rockin' with our city like a sold out show house full of pros that specialize in the ho'in' make that money rain as they taking off they clothes order plane tickets cali is the mission visit every month like i'm split life living let the world listen if a hater's caught slipping then my niggas stay tight got my back like pippen fast life gripping yeah, we still tippin' codeine cups paint a picture so vivid fakes try to mimic get girls timid but behind closed doors they get poles so rigid  all that money, the money is the motive all that money, the money is the motive all that money, the money she be folding girl, put in work, girl, girl, put in work girl, put in work, girl, girl, put in work girl, put in work  push it to the limit push it through the pain i push it for the pleasure like a virgin to the game a virgin to that money a virgin to the fame so this my only chance and when i'm over only pray that i flow from the bottom closer to the top the higher that i climb the harder i'ma drop these pussy ass niggas tryna hold on to their credit so i tell them use a debit watch they image start to lessen i warn them like discretion why these niggas testing? always fucking testing why these niggas testing? shit that i got them on straight bar hopping to the music of the ambiance get shit popping zombies of the night (zombies of the night) niggas ain't talking if they hyping to the crew get it in like pockets downtown loving when the moon coming only place to find bassheads and hot women  all that money, the money is the motive all that money, the money is the motive all that money, the money she be folding girl, put in work, girl, girl, put in work girl, put in work, girl, girl, put in work girl, put in work  better slow down she'll feel it in the morning ain't the kind of girl you'll be seeing in the morning too damn raw, ain't no nigga with her rollin' ain't no nigga that she holding man, her love is too damn foreign look at all that money the money is the motive (the money is the motive) all that money the money she be folding (the money she be folding) girl, put in work, girl, girl, put in work girl, put in work, girl, girl, put in work  all that money, the money is the motive all that money, the money is the motive all that money, the money she be folding girl, put in work, girl, girl, put in work girl, put in work, girl, girl, put in work girl, put in work"
Agitations tropicales,L'Impératrice,Odyssée - EP,62,2La21GqU4fKTQLcfLxTeoz,spotify:track:2La21GqU4fKTQLcfLxTeoz,https://open.spotify.com/track/2La21GqU4fKTQLcfLxTeoz,https://p.scdn.co/mp3-preview/9f9a1220b4d95cc875784305e5ce71f4421f20e7?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0291d5af63d5acc752950d5927,https://i.scdn.co/image/ab67616d0000485191d5af63d5acc752950d5927,0.76,0.401,1,-9.537,0,0.0674,0.564,0.259,0.0977,0.619,115.989,248892,4,"cortège en partance vers des latitudes impudiques éclabousser l’éminence pacifique monarque ingénue et fière elle seule domine l’assemblée, docile, chemine vers son parfum thérémine  agitations tropicales créatures astrales courtisanes en transe soupirants de l’élégance idéale agitations tropicales symphonie spatiale l’équipage avance épousant l’exubérance impériale  fuir les apparences futiles les beautés mécaniques pardonner la décadence organique sous son écorce impassible on devine sa lascivité mutine sa tendresse libertine  agitations tropicales créatures astrales courtisanes en transe soupirants de l’élégance idéale agitations tropicales symphonie spatiale l’équipage avance épousant l’exubérance impériale"
Drifter,Hippie Sabotage,Drifter,64,1DehtVbbTjUQjxGaXd5PnH,spotify:track:1DehtVbbTjUQjxGaXd5PnH,https://open.spotify.com/track/1DehtVbbTjUQjxGaXd5PnH,https://p.scdn.co/mp3-preview/c698ac30a508763ea95f7dda0a91b1068150ed9c?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e022dfa7761d4918777330d9794,https://i.scdn.co/image/ab67616d000048512dfa7761d4918777330d9794,0.389,0.308,7,-14.46,0,0.0751,0.853,0.937,0.172,0.13,129.138,210308,4,
Come Thru,AC Slater,Come Thru,40,29ZgpeiwxcaMB6SFj4k07t,spotify:track:29ZgpeiwxcaMB6SFj4k07t,https://open.spotify.com/track/29ZgpeiwxcaMB6SFj4k07t,https://p.scdn.co/mp3-preview/941e6cb30d3c5a46c214c7efbe2741c60772b4e1?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0257614b33e2cbbb57c870b91d,https://i.scdn.co/image/ab67616d0000485157614b33e2cbbb57c870b91d,0.802,0.979,11,-4.757,0,0.0514,0.00516,0.0883,0.222,0.952,127.988,250000,4,
All Night Long (All Night) - Single Version,Lionel Richie,The Definitive Collection,65,2Wb9ejnmy27DUTUe9YF5Ew,spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,https://open.spotify.com/track/2Wb9ejnmy27DUTUe9YF5Ew,https://p.scdn.co/mp3-preview/aa14c5adaaf097bbab6a86ef7b69642355692ebe?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e022e6e2b77b5dd9d3b54415138,https://i.scdn.co/image/ab67616d000048512e6e2b77b5dd9d3b54415138,0.739,0.576,1,-12.024,1,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427,4,
My Dawg,21 Savage,SAVAGE MODE II,71,42Tohunwlh34o0mgxYx5iq,spotify:track:42Tohunwlh34o0mgxYx5iq,https://open.spotify.com/track/42Tohunwlh34o0mgxYx5iq,https://p.scdn.co/mp3-preview/8d2a4268019d669672ed5c5388866473ebf80057?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.831,0.532,0,-5.319,0,0.301,0.0652,0.0,0.464,0.364,140.105,181716,4,"just because i didn't remind you, don't think i forgot just because it ain't happened yet, don't think that it's not nipsey was solid, i know that he up there with biggie and pac my choppa could tell you a story, i pray that you don't try to plot stayed a hundred, couple niggas changed i ain't never went against the grain, i could never snort cocaine i could never fuck a bitch behind my brother then try and turn her to my main clout chasin' got him in a wood box, can't believe he died for the fame he'll risk it all for a name, i was comin' hard 'fore i came i ain't know nothin' 'bout no visa, i was in the park with the gang moms be feelin' bad, i try to tell her she is not to blame no social security, couldn't get a license, but i still didn't complain i went and got it, i ain't ask for no handout lil' nigga, we are not the same you know what i'm on, first girlfriend did me wrong i swear to god that every girl after that, i was gon' do 'em wrong different bitch in my bed every night, but i still be feelin' alone matter fact i finna be with one, probably right after i finish this song  that's my dawg (that's my dawg) he gon' ride (he gon' ride) off the leash (off the leash) he gon' slide (he gon' slide), she know i cheat (she know i cheat) she know i lie (she know i lie), i be geeked up, i be fried (21) sweep the room, we pull up with brooms (21, 21) smokin' girl scout, you can smell the fumes (smell the fumes) don't approach me 'bout your wifey if she choose (pussy) last scrub did that made the news (21)  nigga keep talkin' that u.k. shit like i don't got aks (21) like, 'cause i was born overseas, these motherfuckers ain't gon' spray-spray (the fuck?) pull up in your hood, nigga, 9-1-1, y'all better call mayday (brr, pow, pow) from glenwood all the way to martin luther king, niggas know we don't play-play caught him down bad (21), broad daylight, i ain't need no mask (21) paid in full (21), all the opp hoes get shot in the ass strip a rap nigga if i ever get low on cash (21) middle school, i ain't go to class, i was hangin' in the hallway, i ain't have a pass (on god) high school, i ain't even go, i was hangin' in the colony tryna sell gas (straight up) in a hotbox with chevy, lil harold, and rock, ready to crash (21) tried to break in the pawnshop on candler road, but the rod wouldn't smash (21) larry got killed, couldn't believe this shit, man, the tears started falling' down fast (on god) lick on mcafee, found a ho, split, but we really had came for the cash (true story) i'm prayin' to ogun there's much shit in the street and my past (21) i told t-tay that buddy was a fuck nigga, boom, he got on the stand (rat) 200k to the lawyer, lil' brother, gon' make sure you get out the cans (21, 21)  that's my dawg (that's my dawg) he gon' ride (he gon' ride) off the leash (off the leash) he gon' slide (he gon' slide), she know i cheat (she know i cheat) she know i lie (she know i lie), i be geeked up, i be fried (21) sweep the room, we pull up with brooms (21, 21) smokin' girl scout, you can smell the fumes (smell the fumes) don't approach me 'bout your wifey if she choose (pussy) last scrub did that made the news"
Intro,21 Savage,SAVAGE MODE II,63,5UpXJ75CXod4PCoBQP6MAP,spotify:track:5UpXJ75CXod4PCoBQP6MAP,https://open.spotify.com/track/5UpXJ75CXod4PCoBQP6MAP,https://p.scdn.co/mp3-preview/770f229f97657c08aa8cab11026e3336fb34b7bf?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.427,0.473,1,-11.104,1,0.15,0.312,0.369,0.527,0.654,80.972,70044,3,"great men with great ideals can be separated by hundreds or even thousands of miles and still be in the same place they can be years or even generations apart in age and yet, somehow, find themselves on the exact same page when these men join forces to put the focus of reaching the same goals, to attain the same outcomes, they are not two, but one instead of simply adding one's common attributes to another's, they somehow tend to multiply all attributes of both whether from st. louis or east atlanta whether from a savage land or a booming metropolis whether they are two or two billion, the greatest their numbers could ever become, is to truly become one i now present to you savage mode ii"
D4L,Future,Dark Lane Demo Tapes,69,5fHrHoJKfCgBd35zwIBmUK,spotify:track:5fHrHoJKfCgBd35zwIBmUK,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK,https://p.scdn.co/mp3-preview/e41623ee40c32b9db5717db464fb1536a108d43e?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02bba7cfaf7c59ff0898acba1f,https://i.scdn.co/image/ab67616d00004851bba7cfaf7c59ff0898acba1f,0.718,0.706,1,-5.709,1,0.06,0.0128,0.0,0.352,0.815,170.004,189176,4,"(808 my crew) (ayy, southside, where you get all that drip?) yeah, yeah yeah  fbg, ysl, know just what's brackin', yeah (yeah, yeah) told my story, gotta clear it by your daddy, yeah (yeah, yeah) fbg, ysl, what's hannenin'? (what's hannenin'?) richard mille, all this year, nigga, what's hannenin'? (what's hannenin'?) louis vuitton bandana, bro, what hannenin'? (what's hannenin'?) d4l, stunna man, say what's hannenin'? (what's hannenin'?) bowen homes, you know, that shiesty shit (what's hannenin'?) you go outside, you better back it  oh, my right wrist a ferrari (skrrt, skrrt) foreign breed, american, she call me papi (yeah, yeah, yeah) vroom, vroom, hellcat, give it to the goons (vroom) on that earl manigault, shootin' it out the spoon seen a prom queen smoke crack when i was lil' million dollars in cash like i sell drugs (sell drugs) gave my bitch a hundred racks, vacuum sealed up (vacuum seal, what?) vacuum sealed up  fbg, ysl, know just what's brackin', yeah (yeah, yeah) told my story, gotta clear it by your daddy, yeah (yeah, yeah) fbg, ovo, what's hannenin'? (what's hannenin'?) richard mille, all year, what's hannenin'? (what's hannenin'?) ysl bandana, man, what's hannenin'? (what's hannenin'?) d4l, stunna man, man, what's hannenin'? (what's hannenin'?) bowen homes, you know, that shiesty shit (what's hannenin'?) you go outside, you better back it (ayy)  go to palm springs for a daytrip freeband, october's own, it's the same shit shawty keep on knockin' back the shots, better pace this woah, woah, banknotes, presidential faces woah, woah, bankhead, started seein' spaceships, woah we just started fuckin', she impatient now she want a butt lift, now she want some lasik just to see the bag clearer, that way she can chase it ayy, ayy i remember grade six, i was up in payless tryna get some asics now i'm nike'd down in a motherfuckin' snake pit now i'm type of nigga give it out and i don't take shit (808 my crew)  i been in the cut for thirteen thousand months (ayy, southside, where you get all that drip?) all that brr, you gon' think we from saudi arabia money counter brr (yeah), ayy my trap comin' up the street, brr (let's go) i ran a check up on my feet, brr (run it up) bentley talk, bentley talk, brr (bentley) go ask your mama, i'm a boss, brr (boss) i got oil, i'm your daddy, brr (daddy) i bought her a 'rari (swerve, skrrt), brr ('rari, yeah) i eat calamari (brr, yeah, yeah, yeah) i'ma let her park me  fbg, ysl, know just what's brackin', yeah (yeah, yeah, yeah) told my story, gotta clear it by your daddy, yeah (yeah) fbg, ysl, what's hannenin'? (what's hannenin'?) richard mille, all this year, nigga, what's hannenin'? (what's hannenin'?) louis vuitton bandana, bro, what hannenin'? (what's hannenin'?) d4l, stunna man, say what's hannenin'? (what's hannenin'?) bowen homes, you know, that shiesty shit (what's hannenin'?) you go outside, you better back it"
JustYourSoul - Tchami Remix,Valentino Khan,JustYourSoul (Tchami Remix),49,5NJi42d7VDo8KPVksb7dS8,spotify:track:5NJi42d7VDo8KPVksb7dS8,https://open.spotify.com/track/5NJi42d7VDo8KPVksb7dS8,https://p.scdn.co/mp3-preview/0e0d04446e964e90f1ac2ae30f203fb3829d4357?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02e7d80a8e94480152c4f4b106,https://i.scdn.co/image/ab67616d00004851e7d80a8e94480152c4f4b106,0.749,0.846,2,-3.441,1,0.0932,0.00403,0.00525,0.0382,0.532,124.935,234241,4,
Skank N Flex (w/ Scrufizzer),Wax Motif,Skank N Flex (w/ Scrufizzer),54,5bZ5HXF6yBsCdL6YQIrcY5,spotify:track:5bZ5HXF6yBsCdL6YQIrcY5,https://open.spotify.com/track/5bZ5HXF6yBsCdL6YQIrcY5,https://p.scdn.co/mp3-preview/7514b4fabd4290f750c2f6c77eb0a67f57ba9db0?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e026de5d4a8d278501f62768363,https://i.scdn.co/image/ab67616d000048516de5d4a8d278501f62768363,0.968,0.87,9,-4.805,1,0.123,0.00416,0.00628,0.0789,0.567,130.052,200742,4,
Oh Girl,The Chi-Lites,The Ultimate Chi-Lites,45,5tcR6nVpY1JRDyDcK0K60f,spotify:track:5tcR6nVpY1JRDyDcK0K60f,https://open.spotify.com/track/5tcR6nVpY1JRDyDcK0K60f,https://p.scdn.co/mp3-preview/3728c02e485e95a15434aa02b470475d2c990852?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0254e863427f6d665cf3713d6e,https://i.scdn.co/image/ab67616d0000485154e863427f6d665cf3713d6e,0.422,0.486,0,-9.866,0,0.0282,0.296,0.0,0.108,0.53,134.587,217520,4,"oh, girl i'd be in trouble if you left me now 'cause i don't know where to look for love i just don't know how  oh, girl how i depend on you to give me love when i need it right on time you would always be  all my friends call me a fool they say let the woman take care of you so i try to be hip and think like the crowd but even the crowd can't help me now, oh  oh, girl tell me, what am i gonna do i know i've got a guilty face girl, i feel so out of place, oh, yeah yeah  (du-du, du-du, du-du) don't know where to go, who to see, yeah (du-du, du-du, du-du)  oh, girl i guess i better go i can save myself a lot of useless tears girl, i've gotta get away from here  oh, girl pain will double if you leave me now 'cause i don't know where to look for love and i don't, i don't know how  oh, yeah, mmhmm oh, girl why do i love you so? yeah (du-du, du-du, du-du) better be on my way, i can't stay, oh yeah (du-du, du-du, du-du) have you ever seen such a helpless man, oh no"
Runaway,Kanye West,My Beautiful Dark Twisted Fantasy,75,3DK6m7It6Pw857FcQftMds,spotify:track:3DK6m7It6Pw857FcQftMds,https://open.spotify.com/track/3DK6m7It6Pw857FcQftMds,https://p.scdn.co/mp3-preview/3b9daa4ad7b5d0b59cd84858823fec284bf16413?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f,https://i.scdn.co/image/ab67616d00004851d9194aa18fa4c9362b47464f,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,547733,4,"look at ya, look at ya, look at ya, look at ya look at ya, look at ya, look at ya, look at ya look at ya, look at ya, look at ya, look at ya look at ya, look at ya, look at ya, look at ya (ladies and gentlemen, ladies, ladies and gentlemen)  and i always find, yeah, i always find something wrong you been puttin' up with my shit just way too long i'm so gifted at finding what i don't like the most so i think it's time for us to have a toast  let's have a toast for the douchebags let's have a toast for the assholes let's have a toast for the scumbags every one of them that i know let's have a toast for the jerk-offs that'll never take work off baby, i got a plan run away fast as you can  she find pictures in my email i sent this bitch a picture of my dick i don't know what it is with females but i'm not too good at that shit see, i could have me a good girl and still be addicted to them hoodrats and i just blame everything on you at least you know that's what i'm good at  and i always find, yeah, i always find yeah, i always find something wrong you been puttin' up with my shit just way too long i'm so gifted at finding what i don't like the most so i think it's time for us to have a toast  let's have a toast for the douchebags let's have a toast for the assholes let's have a toast for the scumbags every one of them that i know let's have a toast for the jerk-offs that'll never take work off baby, i got a plan run away fast as you can  run away from me, baby ah, run away run away from me, baby (look at ya, look at ya, look at ya) run away when it starts to get crazy (look at ya, look at ya, look at ya) then run away babe, i got a plan, run away as fast as you can run away from me, baby run away run away from me, baby (look at, look at, look at, look at, look at, look at, look at ya) run away when it starts to get crazy (look at ya, look at ya, look at ya, look at ya) why can't she just run away? baby, i got a plan run away as fast as you can (look at ya, look at ya, look at ya)  twenty-four seven, three sixty-five, pussy stays on my mind i-i-i-i did it, alright, alright, i admit it now pick your next move, you could leave or live with it ichabod crane with that motherfuckin' top off split and go where? back to wearing knockoffs? haha, knock it off, neimans, shop it off let's talk over mai tais, waitress, top it off hoes like vultures, wanna fly in your freddy loafers you can't blame 'em, they ain't never seen versace sofas every bag, every blouse, every bracelet comes with a price tag, baby, face it you should leave if you can't accept the basics plenty hoes in the baller-nigga matrix invisibly set, the rolex is faceless i'm just young, rich, and tasteless, p  never was much of a romantic i could never take the intimacy and i know i did damage 'cause the look in your eyes is killing me i guess you knew of that advantage 'cause you could blame me for everything and i don't know how i'ma manage if one day, you just up and leave  and i always find, yeah, i always find something wrong you been puttin' up with my shit just way too long i'm so gifted at finding what i don't like the most so i think it's time for us to have a toast  let's have a toast for the douchebags let's have a toast for the assholes let's have a toast for the scumbags every one of them that i know let's have a toast for the jerk-offs that'll never take work off baby, i got a plan run away fast as you can"
