track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,time_signature,release_date,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance
Parachute,Petit Biscuit,user_library,73,51.0,0.532,0.477,-10.811,0.0812,0.303,0.0,0.13,0.515,81.012,1,6,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Burnin,Petit Biscuit,user_library,73,65.0,0.846,0.554,-8.753,0.0559,0.044,0.000367,0.0797,0.784,113.968,0,8,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Take Cover,Petit Biscuit,user_library,73,46.0,0.637,0.413,-13.586,0.136,0.276,0.00403,0.0969,0.119,92.947,1,1,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pick Your Battles,Petit Biscuit,user_library,73,55.0,0.693,0.683,-9.74,0.0454,0.0335,0.12,0.169,0.193,123.951,0,7,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Constellation,Petit Biscuit,user_library,73,45.0,0.466,0.403,-9.43,0.0371,0.143,0.00405,0.123,0.117,66.535,0,2,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Drivin Thru the Night,Petit Biscuit,user_library,73,48.0,0.546,0.586,-9.319,0.358,0.655,0.0222,0.0931,0.384,123.963,1,9,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gwana,Petit Biscuit,user_library,73,46.0,0.624,0.414,-12.805,0.0735,0.398,0.245,0.164,0.185,125.081,1,0,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I Leave Again,Petit Biscuit,user_library,73,65.0,0.724,0.476,-13.832,0.0555,0.465,0.0451,0.0964,0.11,124.006,1,2,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hang On,Petit Biscuit,user_library,73,45.0,0.54,0.421,-11.89,0.132,0.289,6.08e-05,0.0941,0.0386,118.119,1,5,4,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BLIND (feat. Young Thug),DaBaby,user_library,94,76.0,0.709,0.679,-6.503,0.346,0.0115,0.0,0.0971,0.754,162.973,0,11,4,2020-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ROXANNE,Arizona Zervas,user_library,77,87.0,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,0,6,5,2019-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Navigator,AC Slater,user_library,55,44.0,0.742,0.931,-5.684,0.062,0.00285,0.534,0.296,0.493,128.012,1,2,4,2020-08-21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intro,21 Savage,user_library,88,59.0,0.427,0.473,-11.104,0.15,0.312,0.369,0.527,0.654,80.972,1,1,3,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Runnin,21 Savage,user_library,88,85.0,0.819,0.626,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01,0,10,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Glock In My Lap,21 Savage,user_library,88,76.0,0.847,0.733,-6.439,0.16,0.00574,1.04e-05,0.151,0.202,130.029,0,10,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mr. Right Now (feat. Drake),21 Savage,user_library,88,83.0,0.647,0.667,-5.563,0.304,0.231,0.0,0.133,0.704,172.08,1,5,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rich Nigga Shit (feat. Young Thug),21 Savage,user_library,88,77.0,0.825,0.733,-5.625,0.0969,0.349,0.0,0.112,0.62,97.974,0,1,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Slidin,21 Savage,user_library,88,71.0,0.774,0.706,-6.494,0.355,0.00163,1.28e-06,0.104,0.382,152.891,1,2,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Snitches & Rats (Interlude),21 Savage,user_library,88,61.0,0.607,0.371,-14.255,0.894,0.742,0.000164,0.403,0.945,102.481,0,1,3,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Many Men,21 Savage,user_library,88,73.0,0.635,0.793,-4.333,0.0322,0.000647,0.747,0.113,0.281,77.594,0,10,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Snitches & Rats (feat. Young Nudy),21 Savage,user_library,88,65.0,0.821,0.671,-5.893,0.18,0.00843,8.5e-05,0.0972,0.494,145.953,1,9,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
My Dawg,21 Savage,user_library,88,68.0,0.831,0.532,-5.319,0.301,0.0652,0.0,0.464,0.364,140.105,0,0,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Steppin On Niggas,21 Savage,user_library,88,64.0,0.849,0.635,-4.068,0.254,0.000608,8.44e-06,0.062,0.798,89.484,1,7,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brand New Draco,21 Savage,user_library,88,68.0,0.697,0.709,-6.642,0.298,0.041,0.000296,0.0886,0.439,155.023,0,11,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No Opp Left Behind,21 Savage,user_library,88,67.0,0.823,0.703,-2.691,0.298,0.0161,1.35e-06,0.294,0.26,178.043,1,8,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RIP Luv,21 Savage,user_library,88,67.0,0.63,0.399,-9.869,0.178,0.105,0.174,0.234,0.0657,183.016,0,5,3,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Said N Done,21 Savage,user_library,88,66.0,0.775,0.566,-6.661,0.283,0.0381,0.000341,0.127,0.479,160.351,1,11,4,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SKYBOX,Gunna,user_library,90,64.0,0.779,0.707,-6.527,0.16,0.0991,0.0,0.0934,0.343,140.894,1,1,4,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roses Remix (feat. Future),SAINt JHN,user_library,82,69.0,0.941,0.463,-5.993,0.113,0.0247,5.53e-05,0.192,0.312,127.003,1,8,4,2020-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trap - Rompasso Remix,SAINt JHN,user_library,82,61.0,0.694,0.739,-5.457,0.185,0.0225,9.11e-06,0.507,0.222,128.049,1,5,4,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dreams,Fleetwood Mac,user_library,85,72.0,0.823,0.338,-15.899,0.0413,0.139,0.00129,0.5,0.785,120.473,1,0,4,1988-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
