track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,time_signature,release_date,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance
When I Get There,Big Wild,user_library,66,65.0,0.694,0.483,-7.157,0.0359,0.000196,0.557,0.134,0.132,96.029,1,0,4,2017-02-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Innerbloom (Lane 8 Remix),RÜFÜS DU SOL,user_library,71,43.0,0.603,0.593,-10.971,0.0298,0.00771,0.275,0.126,0.0986,123.998,0,7,4,2016-10-21,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Workin Out,JID,user_library,74,0.0,0.818,0.57,-8.067,0.285,0.384,0.000102,0.19,0.561,126.938,0,10,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frequency Change,JID,user_library,74,0.0,0.633,0.506,-16.808,0.863,0.47,0.0,0.959,0.784,70.128,1,1,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Slick Talk,JID,user_library,74,0.0,0.512,0.881,-5.102,0.417,0.0384,0.0,0.269,0.446,77.511,1,7,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Westbrook (with A$AP Ferg),JID,user_library,74,0.0,0.621,0.779,-4.354,0.406,0.0454,0.0,0.0479,0.432,90.722,1,1,3,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Off Deez (with J. Cole),JID,user_library,74,0.0,0.836,0.579,-6.164,0.243,0.00207,0.0,0.11,0.431,85.486,1,9,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
151 Rum,JID,user_library,74,0.0,0.756,0.867,-3.626,0.162,0.155,0.00285,0.33,0.666,129.983,1,7,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Off Da Zoinkys,JID,user_library,74,0.0,0.708,0.632,-7.491,0.475,0.133,0.0,0.621,0.373,137.981,1,7,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tiiied (feat. 6LACK & Ella Mai),JID,user_library,74,0.0,0.588,0.644,-7.523,0.227,0.6,0.0,0.647,0.102,97.183,0,2,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Skrawberries (feat. BJ The Chicago Kid),JID,user_library,74,0.0,0.613,0.77,-4.197,0.209,0.0951,0.0,0.076,0.505,80.969,0,6,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hot Box (feat. Method Man & Joey Bada$$),JID,user_library,74,0.0,0.744,0.697,-8.068,0.368,0.494,0.0,0.0747,0.64,79.202,1,7,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mounted Up,JID,user_library,74,0.0,0.741,0.606,-7.833,0.253,0.0195,0.000333,0.337,0.455,108.126,1,8,5,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Just Da Other Day,JID,user_library,74,0.0,0.821,0.529,-6.924,0.18,0.0904,1.73e-06,0.162,0.0622,98.555,1,1,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Despacito Too,JID,user_library,74,0.0,0.646,0.705,-6.579,0.395,0.0968,0.0,0.356,0.379,144.056,0,11,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hasta Luego - Bonus,JID,user_library,74,0.0,0.769,0.505,-6.882,0.252,0.0359,0.000106,0.107,0.297,140.063,0,11,4,2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Body,Loud Luxury,user_library,74,75.0,0.752,0.764,-4.399,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,1,1,4,2017-10-27,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Open Your Mind,Volac,user_library,55,28.0,0.854,0.735,-6.116,0.0917,0.000741,0.84,0.0418,0.819,124.979,1,0,4,2016-11-25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Don't Come Out The House (with 21 Savage),Metro Boomin,user_library,86,0.0,0.87,0.35,-6.082,0.277,0.00661,0.000483,0.108,0.175,74.963,1,1,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Up To Something (feat. Travis Scott & Young Thug),Metro Boomin,user_library,86,0.0,0.799,0.616,-8.809,0.157,0.319,0.0,0.134,0.667,114.014,1,1,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Borrowed Love (feat. Swae Lee & WizKid),Metro Boomin,user_library,86,0.0,0.52,0.594,-8.81,0.462,0.44,0.0,0.185,0.393,129.216,0,11,5,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Only You (feat. WizKid, Offset & J Balvin)",Metro Boomin,user_library,86,0.0,0.732,0.69,-7.745,0.174,0.538,9.37e-05,0.191,0.636,117.157,0,4,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"No More (feat. Travis Scott, Kodak Black & 21 Savage)",Metro Boomin,user_library,86,0.0,0.636,0.501,-7.26,0.329,0.413,0.0,0.339,0.196,82.309,0,11,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10AM/Save The World (feat. Gucci Mane),Metro Boomin,user_library,86,0.0,0.719,0.501,-8.84,0.239,0.257,0.0,0.189,0.419,136.025,0,8,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Overdue (with Travis Scott),Metro Boomin,user_library,86,0.0,0.638,0.4,-11.212,0.0425,0.733,0.000133,0.334,0.495,150.133,0,11,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Dreamcatcher (feat. Swae Lee & Travis Scott),Metro Boomin,user_library,86,0.0,0.675,0.23,-10.363,0.204,0.191,0.0,0.104,0.101,173.962,0,1,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Space Cadet (feat. Gunna),Metro Boomin,user_library,86,0.0,0.901,0.464,-9.789,0.0645,0.368,1.71e-05,0.238,0.638,109.004,0,5,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10 Freaky Girls (with 21 Savage),Metro Boomin,user_library,86,0.0,0.81,0.353,-9.931,0.31,0.588,0.0,0.102,0.0727,88.031,0,6,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Only 1 (Interlude) (with Travis Scott),Metro Boomin,user_library,86,0.0,0.317,0.239,-12.036,0.0331,0.744,0.0,0.169,0.391,78.251,0,1,3,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lesbian (feat. Gunna & Young Thug),Metro Boomin,user_library,86,0.0,0.8,0.406,-8.892,0.268,0.636,0.0,0.109,0.274,120.999,0,6,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
No Complaints (feat. Offset & Drake) (Bonus),Metro Boomin,user_library,86,0.0,0.914,0.572,-8.82,0.166,0.0709,0.00237,0.0599,0.203,123.963,1,2,4,2018-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Race - Remix,Tay-K,user_library,68,68.0,0.75,0.548,-6.288,0.358,0.00619,0.0,0.156,0.377,160.084,1,9,4,2017-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Navajo,Masego,user_library,75,68.0,0.567,0.593,-7.404,0.288,0.117,1.32e-06,0.248,0.358,88.545,0,6,4,2017-06-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Tints (feat. Kendrick Lamar),Anderson .Paak,user_library,79,57.0,0.805,0.833,-6.73,0.12,0.0859,0.0,0.0578,0.703,109.076,0,1,4,2018-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It Gets Better,GRiZ,user_library,64,0.0,0.522,0.909,-5.962,0.0432,0.000766,0.000285,0.135,0.609,154.999,0,10,4,2018-11-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Can't Get Enough,GRiZ,user_library,64,0.0,0.584,0.909,-5.866,0.185,0.000747,0.0422,0.179,0.556,168.081,1,11,4,2018-11-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fix You,Coldplay,user_library,89,82.0,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,1,3,4,2005-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sparks,Coldplay,user_library,89,73.0,0.371,0.268,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,1,1,3,2000-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bullit,Watermät,user_library,47,42.0,0.556,0.745,-4.254,0.0745,0.127,0.372,0.0954,0.426,122.035,1,5,4,2014-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow,Coldplay,user_library,89,85.0,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,1,11,4,2000-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Knock It Off,Jay Rock,user_library,74,0.0,0.925,0.455,-7.525,0.125,0.355,3.45e-05,0.115,0.885,132.991,1,6,4,2018-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mo Bamba,Sheck Wes,user_library,70,78.0,0.729,0.625,-5.266,0.0315,0.194,0.00986,0.248,0.261,146.034,1,4,4,2018-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wow Freestyle (feat. Kendrick Lamar),Jay Rock,user_library,74,0.0,0.782,0.633,-4.644,0.341,0.0355,0.0,0.0615,0.749,150.055,1,8,4,2018-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Jungle,Petit Biscuit,user_library,73,48.0,0.363,0.655,-6.582,0.0769,0.302,0.0679,0.103,0.0581,171.664,1,6,4,2016-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alone,Petit Biscuit,user_library,73,57.0,0.772,0.745,-10.194,0.0405,0.595,0.87,0.117,0.166,116.014,1,11,4,2015-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eyes,RÜFÜS DU SOL,user_library,71,56.0,0.659,0.752,-6.239,0.0312,0.0115,0.00256,0.128,0.248,124.016,0,3,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
New Sky,RÜFÜS DU SOL,user_library,71,57.0,0.643,0.744,-8.021,0.029,0.0213,0.287,0.17,0.194,124.004,1,5,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lost in My Mind,RÜFÜS DU SOL,user_library,71,52.0,0.575,0.827,-5.576,0.0354,0.00962,0.000682,0.104,0.286,119.969,1,6,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No Place,RÜFÜS DU SOL,user_library,71,60.0,0.612,0.876,-6.247,0.0315,0.0167,0.175,0.189,0.187,120.022,0,4,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
All I've Got,RÜFÜS DU SOL,user_library,71,50.0,0.645,0.686,-6.952,0.0311,0.0359,0.0108,0.456,0.199,121.012,1,0,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Underwater,RÜFÜS DU SOL,user_library,71,65.0,0.611,0.809,-6.63,0.0342,0.019,0.0185,0.114,0.428,118.003,0,6,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Solace,RÜFÜS DU SOL,user_library,71,52.0,0.297,0.282,-11.134,0.0284,0.721,0.000338,0.0599,0.155,139.128,1,0,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Another Life,RÜFÜS DU SOL,user_library,71,51.0,0.652,0.824,-8.285,0.0451,0.0219,0.134,0.066,0.0366,121.99,0,4,4,2018-10-19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Suffer,Petit Biscuit,user_library,73,52.0,0.562,0.606,-6.334,0.0999,0.0262,0.0125,0.166,0.292,97.023,1,0,4,2018-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Safe,Petit Biscuit,user_library,73,45.0,0.462,0.564,-7.193,0.0513,0.335,0.0219,0.113,0.0375,150.154,0,0,4,2018-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shades (feat. Donnie Sloan & Ricky Ducati),Tchami,user_library,66,44.0,0.623,0.746,-6.509,0.0783,0.0994,1.95e-05,0.109,0.179,119.984,1,5,4,2018-10-04,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Good Life,ZHU,user_library,72,59.0,0.734,0.758,-6.288,0.0904,0.0453,0.171,0.653,0.214,116.019,0,5,4,2016-07-29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dedicate,Lil Wayne,user_library,90,60.0,0.879,0.662,-6.162,0.309,0.033,0.0,0.716,0.724,117.975,1,2,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Let It Fly (feat. Travis Scott),Lil Wayne,user_library,90,61.0,0.902,0.819,-3.321,0.316,0.041,0.0,0.106,0.745,89.0,1,1,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,user_library,90,68.0,0.856,0.694,-4.393,0.169,0.371,0.0,0.109,0.489,122.08,1,2,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Famous (feat. Reginae Carter),Lil Wayne,user_library,90,57.0,0.623,0.568,-5.664,0.144,0.0302,0.0,0.25,0.115,149.852,1,9,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Problems,Lil Wayne,user_library,90,52.0,0.803,0.571,-6.937,0.296,0.0169,0.0,0.252,0.101,140.002,1,2,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Took His Time,Lil Wayne,user_library,90,53.0,0.753,0.703,-3.417,0.213,0.144,0.0,0.325,0.641,149.991,0,5,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
I Love You Dwayne,Lil Wayne,user_library,90,48.0,0.647,0.814,-16.493,0.941,0.81,0.0,0.445,0.0787,140.685,0,11,3,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Don't Cry (feat. XXXTENTACION),Lil Wayne,user_library,90,63.0,0.618,0.71,-6.066,0.331,0.407,0.0,0.183,0.233,112.014,1,8,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Uproar,Lil Wayne,user_library,90,70.0,0.743,0.87,-2.188,0.212,0.0595,0.0,0.299,0.884,99.079,1,1,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Can't Be Broken,Lil Wayne,user_library,90,60.0,0.58,0.577,-5.997,0.2,0.125,0.0,0.086,0.153,99.283,0,2,5,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,user_library,90,55.0,0.603,0.457,-5.384,0.297,0.526,0.0,0.0905,0.455,73.724,1,11,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
What About Me (feat. Sosamann),Lil Wayne,user_library,90,57.0,0.785,0.44,-6.566,0.0401,0.0263,2.03e-06,0.122,0.22,118.089,1,10,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Open Letter,Lil Wayne,user_library,90,54.0,0.765,0.55,-6.299,0.357,0.0283,0.0,0.139,0.361,97.004,0,9,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Dope Niggaz (feat. Snoop Dogg),Lil Wayne,user_library,90,57.0,0.752,0.709,-5.053,0.28,0.0401,0.0,0.0601,0.644,84.974,1,9,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Hittas,Lil Wayne,user_library,90,52.0,0.789,0.765,-3.93,0.379,0.274,0.0,0.216,0.679,144.049,1,2,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Open Safe,Lil Wayne,user_library,90,54.0,0.929,0.598,-5.373,0.156,0.00705,0.0,0.0549,0.501,96.012,1,1,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Start This Shit Off Right (feat. Ashanti & Mack Maine),Lil Wayne,user_library,90,51.0,0.865,0.568,-5.112,0.24,0.0206,0.0,0.186,0.882,90.986,1,0,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Demon,Lil Wayne,user_library,90,53.0,0.754,0.615,-5.346,0.171,0.275,0.0,0.13,0.349,140.036,0,4,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mess,Lil Wayne,user_library,90,57.0,0.641,0.579,-8.276,0.0896,0.479,9.58e-05,0.214,0.421,145.995,1,9,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Dope New Gospel (feat. Nivea),Lil Wayne,user_library,90,51.0,0.651,0.718,-3.924,0.302,0.227,0.0,0.109,0.402,116.772,1,0,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Perfect Strangers,Lil Wayne,user_library,90,53.0,0.746,0.644,-2.605,0.232,0.4,0.0,0.095,0.542,146.187,1,7,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Used 2,Lil Wayne,user_library,90,54.0,0.677,0.665,-6.949,0.487,0.337,0.0,0.115,0.522,87.637,1,5,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Let It All Work Out,Lil Wayne,user_library,90,60.0,0.551,0.562,-6.862,0.163,0.0218,0.0,0.302,0.438,135.679,0,8,4,2018-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Cute,Shelley FKA DRAM,user_library,65,38.0,0.696,0.714,-6.901,0.0484,0.388,2.6e-05,0.102,0.729,74.992,1,8,4,2016-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SAN MARCOS,BROCKHAMPTON,user_library,77,53.0,0.388,0.503,-5.628,0.0316,0.339,0.0,0.111,0.53,73.965,1,0,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TONYA,BROCKHAMPTON,user_library,77,52.0,0.576,0.558,-7.713,0.312,0.509,2.07e-05,0.158,0.0395,80.193,0,7,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NEW ORLEANS,BROCKHAMPTON,user_library,77,55.0,0.639,0.815,-4.962,0.252,0.232,0.0,0.299,0.4,159.903,0,11,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
THUG LIFE,BROCKHAMPTON,user_library,77,49.0,0.576,0.74,-6.195,0.0854,0.274,3e-06,0.0948,0.37,159.959,1,0,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BERLIN,BROCKHAMPTON,user_library,77,48.0,0.716,0.621,-6.626,0.22,0.051,0.0,0.307,0.644,142.087,0,11,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SOMETHING ABOUT HIM,BROCKHAMPTON,user_library,77,46.0,0.702,0.64,-9.108,0.18,0.579,0.0,0.14,0.619,79.924,1,6,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WHERE THE CASH AT,BROCKHAMPTON,user_library,77,45.0,0.862,0.523,-6.851,0.378,0.00712,0.00238,0.129,0.172,156.032,1,2,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WEIGHT,BROCKHAMPTON,user_library,77,48.0,0.451,0.746,-6.78,0.187,0.114,6.6e-06,0.297,0.273,160.259,1,9,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DISTRICT,BROCKHAMPTON,user_library,77,52.0,0.66,0.738,-6.728,0.0786,0.0515,6.32e-06,0.211,0.515,122.525,1,8,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOOPHOLE,BROCKHAMPTON,user_library,77,39.0,0.438,0.646,-8.417,0.238,0.881,0.0,0.706,0.961,124.045,0,6,1,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TAPE,BROCKHAMPTON,user_library,77,45.0,0.566,0.898,-4.999,0.298,0.255,0.0,0.189,0.382,80.583,0,7,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J'OUVERT,BROCKHAMPTON,user_library,77,53.0,0.719,0.703,-4.114,0.253,0.0373,0.000138,0.361,0.501,83.984,1,8,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HONEY,BROCKHAMPTON,user_library,77,51.0,0.74,0.787,-6.343,0.0493,0.0794,0.0,0.122,0.178,109.966,1,2,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VIVID,BROCKHAMPTON,user_library,77,46.0,0.68,0.657,-4.85,0.188,0.187,0.0,0.324,0.23,81.0,1,2,4,2018-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
