track,artist,track_id,data_type,0,1,2,3,4,5,6,7
Beautiful Trip,Kid Cudi,4IIuCotvqijraSdnVLaFnM,album,-0.9728200956000872,-0.3258431570092436,-0.8814350880768651,0.04872575752615171,-0.24299089522016803,-0.15062175485198537,-0.1647905582112102,-0.22594968141713903
Tequila Shots,Kid Cudi,30KctD1WsHKTIYczXjip5a,album,-0.9629030942510565,-0.41314060512661616,-0.7362875531520346,0.0851397087740182,-0.22219577770425902,0.001046034654833626,-0.05106624681352377,0.23680155401177344
Another Day,Kid Cudi,6myUpr3GDR80Dg3zqNTmmG,album,-0.9672434027607297,-0.4078507651227652,-0.7222974819327018,0.04212540537875604,-0.14440874365095113,-0.03966414860283764,-0.10553155848356398,0.03861564187847974
She Knows This,Kid Cudi,1xzUQMiCoY5pdego0pHMeV,album,-0.9581833828071662,-0.4081240903775689,-0.735123484088731,0.026435728435387957,-0.19280033137617555,-0.035677793482798044,-0.19541640387032186,0.32733569722391936
Dive,Kid Cudi,7Hc3YL8oDiAzbiAW32KXrw,album,-0.9824403329030053,-0.37557966336341553,-0.6913793702491972,0.03127629831998148,-0.1819919257475201,-0.1062527675320458,-0.11380930250674533,0.23001910323479774
Damaged,Kid Cudi,2n7Ao4nyESBa5ti8gcAbBt,album,-1.0390465592474518,-0.20927382978909728,0.06050354672748589,-0.6345767733829868,-0.08859719984763535,-0.2423033956780825,-0.1504961931259294,0.24279101327697453
Heaven On Earth,Kid Cudi,2koUj1Fn5TKFEkChSmBPIb,album,-1.0024423504281812,-0.14033556170175443,0.11905062020247538,-0.6466944232689025,-0.04773048881043757,-0.3327184700437403,-0.1372957863426725,-0.15585957284713936
Show Out (with Skepta & Pop Smoke),Kid Cudi,5CFJRZRq6sdKKtRwNPWbYv,album,-1.102589302431487,-0.234446983853667,0.08785171922014325,-0.7246641497595917,-0.034454708518712955,0.7662649070325607,-0.059096057936099726,-0.13178528083702143
"Solo Dolo, Pt. III",Kid Cudi,27oVCAziETRbNuo5A8LNpg,album,-0.9800075541909776,-0.4381328311476692,-0.730856154488067,0.051397482853848465,-0.23399456018936102,-0.061693448672076795,-0.09715132153532889,0.12693581009973318
Sad People,Kid Cudi,4nuAslShoN77tq12fzwjUq,album,-0.9590892704578273,-0.4087221685714671,-0.7159510753781196,0.10791436776917065,-0.24187844724069432,-0.015915552126852736,-0.019287517622044097,0.18043376226514315
Elsie's Baby Boy (flashback),Kid Cudi,6jiwr6xTHqjdun5d3cEwXV,album,-0.9929507009093529,-0.31128164133953873,-0.6143080348240445,-0.08332338212196566,-0.17038530946185915,-0.11615779823511302,-0.16870545293772193,0.16999361447039188
Sept. 16,Kid Cudi,3Uw2se3aQU1UFrpRBvBnB4,album,-0.98050681267817,-0.3518743667343061,-0.7153516404938961,0.07200893420881284,-0.18906820554868334,-0.05684765439540668,-0.10150925059682916,0.03818796171047449
The Void,Kid Cudi,2yg7MXp8nSPaf61HVkhEr3,album,-0.9541334806937136,-0.31497966823888385,-0.6989976321017864,-0.02895420896034984,-0.1513884239570327,-0.10889192404341765,0.06071575397084464,0.44007360325351735
Lovin’ Me (feat. Phoebe Bridgers),Kid Cudi,3JdwGk8j7lHN5qdzJZklam,album,-1.0782469142332194,-0.2472716163655332,0.09007222624337297,-0.7280333547153821,-0.02715786428295471,0.7640061489982121,-0.02548970400109363,-0.13059595564958157
The Pale Moonlight,Kid Cudi,4EjbAh7YHU3VARkfkamZ8R,album,-0.9920616670178661,-0.3547300310796831,-0.6556105962233767,-0.002116761294015776,-0.28083597250013265,-0.1269008543290706,0.17212563959220856,0.44206266855143533
Rockstar Knights (with Trippie Redd),Kid Cudi,4J9SI7do4KOEsCexqEbjmR,album,-0.9788566825471596,-0.4075490721603169,-0.7334458229451695,0.02898880642905542,-0.20736835944880028,-0.04631174443048548,-0.19700313351558665,0.30699276767244243
4 Da Kidz,Kid Cudi,2ZDRkJrKbceJRgLKkuex14,album,-1.0440881763954943,-0.15262107892322932,0.0001733658112376788,-0.46036445591026764,-0.19019009602226583,-0.09029422639888604,-0.041885160843674135,0.09916229459186446
Lord I Know,Kid Cudi,7f2voPcnDEAzX4yB8SLnU2,album,-0.98552482739322,-0.11442638790711192,0.08571010196522284,-0.6597057527308651,0.003895451182480192,-0.33394005766057117,-0.1824371765505597,-0.20567217354831108
